                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.91104,                 0.3754,                0.88787,                0.97536,                0.93424,                 0.9631,                 0.6991,                 1.0383,                0.38178,                0.91074,              0.0004556,              0.0004556,              0.0004556
                     81,                0.90635,                0.37491,                0.88737,                0.98448,                0.93093,                0.96578,                0.69939,                 1.0371,                0.38245,                 0.9109,              0.0004358,              0.0004358,              0.0004358
                     82,                0.90215,                0.37352,                0.88349,                0.98224,                0.93163,                0.96617,                0.70141,                  1.039,                0.38147,                0.91158,               0.000416,               0.000416,               0.000416
                     83,                0.90225,                0.37062,                0.88167,                0.98348,                0.93152,                0.96677,                0.70073,                 1.0425,                0.37995,                0.91334,              0.0003962,              0.0003962,              0.0003962
                     84,                0.89135,                0.36945,                0.87874,                0.98061,                0.93152,                0.96587,                0.70019,                 1.0439,                 0.3782,                0.91471,              0.0003764,              0.0003764,              0.0003764
                     85,                0.90758,                0.37076,                 0.8863,                0.98164,                0.92967,                0.96403,                0.69583,                 1.0411,                0.37635,                0.91262,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.8865,                 0.3632,                 0.8815,                0.98107,                0.92965,                0.96705,                0.69851,                 1.0404,                0.37629,                0.91325,              0.0003368,              0.0003368,              0.0003368
                     87,                0.89007,                0.36514,                0.88197,                0.98053,                0.93035,                0.96655,                0.70001,                 1.0424,                0.37587,                0.91406,               0.000317,               0.000317,               0.000317
                     88,                 0.8959,                0.36325,                0.88325,                0.98218,                0.92837,                0.96698,                 0.7004,                 1.0386,                 0.3735,                0.91369,              0.0002972,              0.0002972,              0.0002972
                     89,                0.89086,                0.36327,                0.88299,                0.98514,                0.92935,                0.96773,                0.70079,                 1.0353,                0.37083,                0.91292,              0.0002774,              0.0002774,              0.0002774
                     90,                0.87465,                 0.3606,                0.87674,                0.98173,                 0.9288,                0.96606,                 0.7001,                 1.0376,                0.37185,                0.91349,              0.0002576,              0.0002576,              0.0002576
                     91,                0.88181,                0.34024,                0.88566,                0.98449,                0.92772,                0.96599,                0.69707,                 1.0441,                0.37441,                0.91249,              0.0002378,              0.0002378,              0.0002378
                     92,                0.87343,                0.33577,                0.88397,                0.98248,                 0.9288,                0.96587,                0.69611,                 1.0467,                0.37627,                0.91153,               0.000218,               0.000218,               0.000218
                     93,                0.86349,                0.33104,                0.87721,                0.98424,                0.93207,                0.96746,                0.70009,                 1.0423,                0.37383,                0.91142,              0.0001982,              0.0001982,              0.0001982
                     94,                0.86275,                0.33189,                0.87901,                0.98414,                0.93261,                0.96756,                0.69995,                 1.0457,                0.37413,                0.91175,              0.0001784,              0.0001784,              0.0001784
                     95,                0.85819,                   0.33,                0.88407,                0.98283,                0.93351,                  0.967,                0.69821,                 1.0533,                0.37845,                0.91273,              0.0001586,              0.0001586,              0.0001586
                     96,                0.86243,                0.32735,                0.88081,                0.98381,                0.92935,                0.96753,                0.69906,                 1.0523,                0.37732,                0.91252,              0.0001388,              0.0001388,              0.0001388
                     97,                0.84939,                0.32588,                0.88138,                0.98392,                0.92935,                0.96845,                0.69886,                 1.0519,                0.37709,                0.91291,               0.000119,               0.000119,               0.000119
                     98,                0.84678,                0.32406,                0.87442,                0.98559,                0.92934,                 0.9678,                0.69944,                  1.054,                0.37648,                0.91393,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.84428,                0.32154,                 0.8791,                0.98508,                0.93281,                0.96905,                0.69893,                 1.0558,                0.37819,                0.91472,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.84106,                0.31911,                0.87525,                0.98409,                 0.9337,                0.96895,                0.70053,                 1.0551,                0.37778,                0.91461,               5.96e-05,               5.96e-05,               5.96e-05
