                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.4238,                 1.1548,                   1.43,                0.65298,                0.69375,                 0.5993,                0.28253,                 1.7822,                 1.6331,                 1.6996,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.3932,                 1.1998,                 1.4408,                0.53587,                0.70625,                 0.6103,                0.25284,                 2.0459,                 1.5643,                 1.9132,               0.001703,               0.001703,               0.001703
                     48,                 1.4239,                 1.1851,                 1.4438,                0.61852,                0.67895,                0.56609,                0.23281,                 2.0525,                 1.5235,                 1.8875,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.3925,                 1.1552,                 1.4259,                0.55243,                 0.7125,                 0.5752,                0.25832,                 1.9647,                 1.7073,                 1.8771,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.4089,                 1.1754,                 1.4302,                0.55385,                   0.65,                0.52062,                0.24704,                 1.8186,                 1.5924,                  1.769,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.4072,                 1.1984,                 1.4212,                0.58964,                0.61069,                0.58945,                0.25669,                 2.0266,                 1.5448,                 1.9039,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.4399,                 1.1738,                 1.4648,                0.61379,                0.57611,                 0.5411,                0.21256,                 2.1057,                 1.4963,                 2.0091,                0.00167,                0.00167,                0.00167
                     53,                 1.4035,                  1.212,                 1.4462,                0.60991,                0.61875,                0.56701,                0.23972,                 1.9025,                 1.5475,                 1.8294,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.3868,                 1.1483,                   1.43,                0.66172,                0.62353,                 0.6258,                0.28699,                 1.8209,                 1.5278,                 1.7311,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.3957,                 1.1825,                 1.4229,                0.63563,                0.64375,                0.61226,                0.25834,                 1.9754,                 1.5471,                 1.8755,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.3369,                 1.1237,                 1.3847,                0.63326,                 0.6625,                 0.5746,                0.27053,                 1.8763,                 1.5204,                 1.8376,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.3703,                 1.1483,                 1.4031,                0.66982,                0.59375,                0.58238,                0.27122,                 1.8688,                 1.5678,                 1.8348,               0.001637,               0.001637,               0.001637
                     58,                 1.3325,                 1.0884,                 1.3962,                0.55388,                0.64375,                0.57005,                0.24091,                 1.9462,                 1.4872,                  1.858,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.3636,                   1.18,                 1.4192,                0.58724,                0.61354,                0.53108,                0.23421,                 1.9426,                 1.5446,                 1.8199,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.3573,                  1.139,                 1.4283,                0.67334,                 0.6625,                0.58293,                0.26543,                 1.8305,                 1.6245,                 1.7939,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.3805,                 1.1253,                 1.4286,                0.60884,                0.64206,                0.57905,                0.26159,                 1.8231,                 1.5268,                 1.7585,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.3476,                 1.0749,                 1.4073,                0.60109,                0.66875,                0.55518,                0.27028,                 1.8704,                 1.4315,                  1.783,               0.001604,               0.001604,               0.001604
                     63,                 1.3621,                 1.1422,                 1.4176,                0.59863,                0.52202,                0.55104,                 0.2285,                 2.0147,                 1.5887,                 1.8888,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.3707,                 1.0868,                  1.404,                0.58214,                  0.575,                0.55393,                0.23659,                 1.9194,                 1.6647,                 1.9227,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.3295,                 1.0689,                 1.3805,                0.60896,                0.67158,                0.62735,                0.28031,                 1.9449,                 1.5364,                 1.9024,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.3603,                 1.0854,                 1.4063,                0.62077,                   0.65,                0.57972,                0.27164,                 1.9297,                 1.5125,                  1.906,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.3366,                 1.0458,                 1.4056,                0.59887,                0.64375,                0.61678,                 0.2601,                 2.1738,                 1.4106,                 2.0484,               0.001571,               0.001571,               0.001571
                     68,                 1.3523,                 1.0763,                 1.3921,                0.60819,                0.61875,                0.54056,                0.24397,                 1.9807,                 1.6879,                 1.8153,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.3333,                 1.1216,                 1.3932,                0.56277,                0.54375,                0.50211,                0.21969,                 1.9576,                 1.5529,                 1.8551,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.3019,                 1.0797,                 1.3703,                0.61008,                   0.65,                0.59474,                 0.2752,                 1.9391,                 1.4624,                 1.9037,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.3103,                 1.0607,                 1.3819,                0.60887,                0.61875,                0.57176,                0.24189,                 1.9553,                 1.5223,                 1.8781,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.3325,                 1.0475,                 1.3858,                 0.6279,                    0.6,                0.58296,                0.24211,                  2.026,                 1.4248,                 1.8845,               0.001538,               0.001538,               0.001538
                     73,                 1.3057,                 1.0857,                 1.3677,                0.61027,                 0.6875,                0.55696,                0.24293,                 1.9126,                  1.518,                 1.7911,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.2862,                 1.0214,                 1.3588,                0.61356,                  0.675,                0.59885,                0.27823,                 1.8482,                 1.4683,                 1.7061,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.2915,                   1.04,                 1.3594,                0.59596,                  0.625,                0.56757,                0.27291,                 1.9072,                 1.5858,                 1.7821,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.2971,                0.99069,                 1.3666,                0.64408,                0.63338,                 0.5716,                0.26234,                 2.0025,                 1.4767,                 1.9133,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.2991,                  1.033,                 1.3734,                0.60636,                0.60653,                0.56935,                0.26326,                 1.9755,                 1.4923,                 1.8452,               0.001505,               0.001505,               0.001505
                     78,                 1.2825,                 1.0236,                 1.3666,                0.67496,                    0.6,                0.54321,                0.24908,                 2.0438,                 1.5599,                 1.9154,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.3183,                 1.0478,                 1.3705,                0.67705,                0.55625,                0.57548,                0.24885,                 2.1433,                 1.4685,                 1.9978,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.3283,                 1.0745,                 1.4013,                0.64961,                 0.6375,                0.55914,                0.24192,                 2.0208,                 1.6016,                 1.8808,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.2635,                 1.0311,                 1.3553,                0.62577,                 0.6625,                  0.585,                 0.2738,                 1.9577,                 1.5784,                  1.857,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.2864,                 1.0774,                 1.3699,                0.65503,                0.60625,                0.55711,                0.23567,                 2.0835,                 1.5947,                 1.9485,               0.001472,               0.001472,               0.001472
