                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.98861,                0.56906,                0.90738,                0.75986,                0.68043,                0.72228,                0.37861,                  1.564,                0.95322,                 1.1826,              0.0011279,              0.0011279,              0.0011279
                     52,                 1.0147,                0.57452,                0.90574,                0.72323,                 0.6788,                0.73084,                0.37227,                 1.6022,                 1.0646,                 1.2107,              0.0011169,              0.0011169,              0.0011169
                     53,                0.96745,                0.55314,                 0.9053,                0.76348,                0.66426,                0.74172,                0.37827,                 1.5719,                0.99935,                 1.1882,              0.0011059,              0.0011059,              0.0011059
                     54,                0.98664,                0.55932,                0.90825,                0.83376,                0.66685,                0.75446,                0.37708,                 1.5722,                0.89705,                 1.1898,              0.0010949,              0.0010949,              0.0010949
                     55,                0.97748,                0.54505,                0.90324,                0.75337,                0.67835,                0.73203,                0.37555,                 1.5893,                0.97546,                 1.2184,              0.0010839,              0.0010839,              0.0010839
                     56,                0.96226,                0.53977,                0.89427,                 0.7263,                0.71966,                0.75112,                 0.3732,                 1.5847,                0.96236,                 1.2054,              0.0010729,              0.0010729,              0.0010729
                     57,                0.98753,                0.53853,                0.90054,                0.72583,                0.69961,                0.73864,                0.37781,                 1.5653,                0.92332,                 1.1949,              0.0010619,              0.0010619,              0.0010619
                     58,                0.95396,                0.53337,                 0.8992,                0.81147,                0.61095,                0.71909,                0.37137,                 1.5591,                 1.0139,                  1.183,              0.0010509,              0.0010509,              0.0010509
                     59,                0.95892,                0.52737,                0.89591,                0.76887,                0.66793,                0.72846,                0.37141,                   1.56,                 1.0123,                 1.1873,              0.0010399,              0.0010399,              0.0010399
                     60,                0.92856,                0.52097,                0.89222,                0.76574,                0.66025,                0.72923,                0.39093,                 1.5686,                 1.0094,                 1.1779,              0.0010289,              0.0010289,              0.0010289
                     61,                0.95607,                0.53649,                0.89702,                0.73787,                0.68133,                0.71146,                0.37155,                 1.5951,                 1.0138,                 1.1888,              0.0010179,              0.0010179,              0.0010179
                     62,                0.94045,                0.53177,                0.88923,                0.79131,                0.65543,                0.73149,                0.38907,                 1.5617,                 1.0208,                  1.194,              0.0010069,              0.0010069,              0.0010069
                     63,                0.93558,                0.53091,                0.89763,                0.78723,                0.67691,                0.73799,                 0.3827,                 1.5997,                0.96041,                 1.2239,             0.00099587,             0.00099587,             0.00099587
                     64,                0.93677,                0.53657,                0.88516,                0.78065,                 0.6692,                0.74684,                0.38371,                 1.5746,                0.94518,                 1.1952,             0.00098486,             0.00098486,             0.00098486
                     65,                0.91578,                0.50614,                0.89034,                0.79063,                0.67446,                0.74356,                0.38418,                 1.6104,                0.96873,                  1.216,             0.00097386,             0.00097386,             0.00097386
                     66,                0.93775,                0.52315,                0.89738,                0.73569,                0.72927,                0.74844,                0.39909,                 1.5556,                0.92118,                 1.1997,             0.00096286,             0.00096286,             0.00096286
                     67,                0.91928,                0.51514,                0.88112,                0.80633,                0.66629,                0.74749,                 0.3871,                 1.6068,                0.93789,                 1.2044,             0.00095186,             0.00095186,             0.00095186
                     68,                0.88815,                0.49433,                0.88081,                0.70211,                0.69433,                0.72522,                0.37078,                 1.6146,                 0.9636,                 1.2348,             0.00094085,             0.00094085,             0.00094085
                     69,                0.89144,                0.50342,                0.88492,                0.76288,                 0.6909,                0.74124,                0.37815,                 1.6321,                 0.9591,                 1.2396,             0.00092985,             0.00092985,             0.00092985
                     70,                0.89149,                0.51158,                0.87677,                0.79801,                0.64478,                0.74777,                0.37499,                 1.6041,                0.95905,                 1.2234,             0.00091885,             0.00091885,             0.00091885
                     71,                 0.8702,                0.50757,                0.88447,                0.71225,                0.73152,                0.75771,                 0.3893,                 1.6101,                0.96577,                 1.2329,             0.00090785,             0.00090785,             0.00090785
                     72,                0.91118,                0.50662,                0.88482,                0.74375,                0.67809,                0.72677,                0.36633,                 1.6234,                  1.021,                 1.2367,             0.00089685,             0.00089685,             0.00089685
                     73,                0.88166,                0.49263,                0.88524,                0.73694,                0.70993,                0.74918,                0.39002,                 1.6044,                0.97747,                 1.2054,             0.00088584,             0.00088584,             0.00088584
                     74,                0.87582,                0.49923,                 0.8791,                0.74001,                0.70761,                0.75263,                0.38423,                   1.61,                0.93122,                 1.2139,             0.00087484,             0.00087484,             0.00087484
                     75,                0.88175,                0.49495,                0.88011,                0.77782,                0.67663,                0.75506,                0.38421,                 1.5928,                0.92588,                  1.216,             0.00086384,             0.00086384,             0.00086384
                     76,                0.85406,                0.47494,                0.87432,                0.74673,                0.70701,                0.76172,                0.38366,                 1.5944,                0.97483,                 1.2166,             0.00085284,             0.00085284,             0.00085284
                     77,                0.84941,                0.47257,                0.86981,                0.79692,                0.68562,                0.75396,                0.39856,                 1.5949,                0.90511,                 1.2273,             0.00084184,             0.00084184,             0.00084184
                     78,                0.83081,                0.46176,                0.87349,                0.74746,                0.68804,                0.72547,                0.36879,                 1.5955,                0.97539,                 1.2205,             0.00083083,             0.00083083,             0.00083083
                     79,                0.84685,                0.47254,                0.86813,                0.66674,                0.77145,                 0.7469,                 0.3993,                 1.5616,                0.99659,                 1.1951,             0.00081983,             0.00081983,             0.00081983
                     80,                 0.8364,                0.47242,                0.86725,                0.75776,                 0.7182,                 0.7606,                0.38916,                 1.5997,                0.93008,                 1.2311,             0.00080883,             0.00080883,             0.00080883
                     81,                0.84042,                0.46568,                 0.8715,                0.74354,                0.71141,                0.75477,                0.39287,                 1.5917,                 0.9518,                 1.2323,             0.00079783,             0.00079783,             0.00079783
                     82,                0.80762,                0.45105,                0.86204,                 0.7287,                0.75663,                0.76046,                0.39765,                 1.5797,                0.91103,                 1.2323,             0.00078682,             0.00078682,             0.00078682
                     83,                0.84108,                0.46846,                0.86244,                 0.7839,                0.70978,                0.76469,                0.39602,                 1.5761,                0.92106,                 1.2163,             0.00077582,             0.00077582,             0.00077582
                     84,                0.81926,                 0.4611,                0.86369,                0.72914,                0.71406,                0.74075,                 0.3893,                 1.5777,                0.96291,                 1.2403,             0.00076482,             0.00076482,             0.00076482
                     85,                0.84335,                0.46672,                0.86467,                0.72501,                0.72011,                0.75255,                0.38866,                 1.5887,                0.90781,                 1.2498,             0.00075382,             0.00075382,             0.00075382
                     86,                0.81827,                0.45058,                 0.8673,                0.71481,                0.75272,                0.76176,                0.40114,                 1.5697,                0.92612,                 1.2363,             0.00074282,             0.00074282,             0.00074282
                     87,                0.81248,                0.44844,                0.86093,                0.79292,                0.68703,                0.75675,                0.40695,                 1.5331,                0.90146,                 1.2082,             0.00073181,             0.00073181,             0.00073181
                     88,                  0.811,                0.45361,                0.86308,                 0.7844,                0.69402,                0.74455,                0.39172,                 1.5332,                0.90638,                 1.1999,             0.00072081,             0.00072081,             0.00072081
                     89,                 0.8062,                 0.4432,                0.85678,                0.79568,                0.61948,                0.72943,                0.38164,                 1.5545,                 1.0205,                 1.2058,             0.00070981,             0.00070981,             0.00070981
                     90,                0.77436,                0.43184,                0.86387,                0.77671,                0.70652,                 0.7673,                0.41648,                  1.529,                0.90257,                 1.2009,             0.00069881,             0.00069881,             0.00069881
                     91,                0.78948,                0.43283,                0.85864,                0.78701,                0.68129,                0.74835,                0.39622,                 1.5479,                0.95832,                 1.2259,              0.0006878,              0.0006878,              0.0006878
                     92,                0.78752,                0.43494,                0.86238,                 0.7193,                 0.7155,                 0.7427,                0.39007,                 1.5439,                0.91228,                  1.226,              0.0006768,              0.0006768,              0.0006768
                     93,                0.77977,                0.43227,                0.85387,                0.74974,                0.73059,                0.74466,                0.39742,                 1.5595,                0.94615,                 1.2193,              0.0006658,              0.0006658,              0.0006658
                     94,                0.78077,                0.41737,                0.85944,                0.80085,                  0.672,                0.75761,                 0.3934,                 1.5795,                0.97434,                 1.2337,              0.0006548,              0.0006548,              0.0006548
